,Original index,pm-Containers.pLMN-Identity,list-of-matched-UEs.ueId,cellObjectID,timestamp,list-of-matched-UEs.pmType,pm-Containers.QCI,pm-Containers.dl-PRBUsage,pm-Containers.ul-PRBUsage,pm-Containers.dl-TotalofAvailablePRBs,pm-Containers.ul-TotalofAvailablePRBs,pm-Containers.nRCGI.nRCellIdentity,list-of-matched-UEs.pmVal,Test ID
72,368,b'111',b'00009',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',736.0,4
73,372,b'111',b'00012',1113,1700747241.9546697,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',3410.0,4
74,382,b'111',b'00010',1115,1700747242.003909,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',8876.0,4
75,383,b'111',b'00001',1115,1700747242.003909,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1360.0,4
76,384,b'111',b'00002',1115,1700747242.003909,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',7036.0,4
77,420,b'111',b'00011',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',7840.0,4
78,421,b'111',b'00004',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',557.0,4
79,422,b'111',b'00001',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1400.0,4
80,423,b'111',b'00005',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',4076.0,4
81,424,b'111',b'00006',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',453.0,4
82,425,b'111',b'00012',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',3776.0,4
83,426,b'111',b'00009',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',842.0,4
84,427,b'111',b'00007',1112,1700747270.2904837,DRB.UEThpDl.UEID,-1.0,63.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',2797.0,4
85,437,b'111',b'00002',1115,1700747270.34206,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',7207.0,4
86,438,b'111',b'00010',1115,1700747270.34206,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',6031.0,4
87,439,b'111',b'00003',1115,1700747270.34206,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',330.0,4
88,469,b'111',b'00011',1112,1700747294.6226048,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',8270.0,4
89,470,b'111',b'00012',1112,1700747294.6226048,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',3168.0,4
90,471,b'111',b'00007',1112,1700747294.6226048,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',3175.0,4
91,472,b'111',b'00009',1112,1700747294.6226048,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',957.0,4
92,473,b'111',b'00004',1112,1700747294.6226048,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',544.0,4
93,474,b'111',b'00006',1112,1700747294.6226048,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',449.0,4
94,487,b'111',b'00001',1115,1700747294.6880906,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1922.0,4
95,488,b'111',b'00003',1115,1700747294.6880906,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',733.0,4
96,489,b'111',b'00010',1115,1700747294.6880906,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',5626.0,4
97,490,b'111',b'00002',1115,1700747294.6880906,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',7324.0,4
98,494,b'111',b'00005',1113,1700747294.720591,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',4045.0,4
