,Original index,pm-Containers.drbqci,pm-Containers.pDCPBytesDL,pm-Containers.pDCPBytesUL,pm-Containers.pLMN-Identity,pm-Containers.interface-type,list-of-matched-UEs.ueId,timestamp,Test ID
196,952,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747542.3374388,4
197,953,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747542.3374388,4
198,954,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747542.3374388,4
199,955,0.0,0.0,0.0,b'111',x2-u,b'00008',1700747542.3374388,4
200,956,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747542.3506231,4
201,1005,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747574.7979903,4
202,1006,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747574.7979903,4
203,1007,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747574.7979903,4
204,1008,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747574.7979903,4
205,1009,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747574.7979903,4
206,1010,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747574.7979903,4
207,1011,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747574.814047,4
208,1012,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747574.814047,4
209,1013,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747574.8287947,4
210,1014,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747574.8287947,4
211,1015,0.0,0.0,0.0,b'111',x2-u,b'00008',1700747574.8287947,4
212,1016,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747574.843338,4
213,0,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746445.6349924,3
214,1,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746445.6349924,3
215,2,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746445.6349924,3
216,3,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746445.6349924,3
217,4,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746445.6349924,3
218,25,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746445.7071245,3
219,26,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746445.7071245,3
220,27,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746445.7071245,3
221,28,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746445.7071245,3
222,29,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746445.7071245,3
223,50,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746445.7815912,3
224,51,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746445.7815912,3
225,60,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746469.927335,3
226,61,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746469.927335,3
227,62,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746469.927335,3
228,63,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746469.927335,3
229,64,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746469.927335,3
230,65,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746469.9381733,3
231,66,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746469.9381733,3
232,67,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746469.9381733,3
233,68,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746469.9381733,3
234,69,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746469.9381733,3
235,70,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746469.9381733,3
236,115,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746498.242145,3
237,116,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746498.242145,3
238,117,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746498.242145,3
239,118,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746498.242145,3
240,119,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746498.2530582,3
241,120,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746498.2530582,3
242,121,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746498.2530582,3
243,122,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746498.2530582,3
244,123,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746498.2530582,3
245,124,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746498.2530582,3
246,125,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746498.2530582,3
247,170,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746522.530347,3
248,171,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746522.530347,3
249,172,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746522.530347,3
250,173,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746522.530347,3
251,174,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746522.5425005,3
252,175,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746522.5425005,3
253,176,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746522.5425005,3
254,177,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746522.5425005,3
