,Original index,list-of-matched-UEs.ueId,cellObjectID,timestamp,pm-Containers.numberOfActive-UEs,list-of-matched-UEs.rrcEvent,list-of-matched-UEs.pmType,list-of-matched-UEs.measResultNeighCells.resultsSSB-Cell.sinr,list-of-matched-UEs.measResultNeighCells.physCellId,Test ID
168,289,b'00006',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,5.0,4
169,290,b'00006',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
170,291,b'00006',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
171,292,b'00004',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,59.0,5.0,4
172,293,b'00004',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
173,294,b'00004',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
174,295,b'00009',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,3.0,4
175,296,b'00009',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
176,297,b'00009',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
177,298,b'00003',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,48.0,5.0,4
178,299,b'00003',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,44.0,3.0,4
179,300,b'00003',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
180,301,b'00011',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,3.0,4
181,302,b'00011',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,5.0,4
182,303,b'00011',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
183,304,b'00007',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,4.0,4
184,305,b'00007',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
