,DRB QCI,DL PCDP Bytes,UL PDCP Bytes,PLMN ID,Interface type,UE ID,Timestamp,Test ID
449,0.0,0.0,0.0,b'111',x2-u,b'00012',495.2426645755768,2
450,0.0,0.0,0.0,b'111',x2-u,b'00006',495.2426645755768,2
451,0.0,0.0,0.0,b'111',x2-u,b'00003',495.2426645755768,2
452,0.0,0.0,0.0,b'111',x2-u,b'00009',495.2426645755768,2
453,0.0,0.0,0.0,b'111',x2-u,b'00004',495.2426645755768,2
454,0.0,0.0,0.0,b'111',x2-u,b'00012',0.0,3
455,0.0,0.0,0.0,b'111',x2-u,b'00003',0.0,3
456,0.0,0.0,0.0,b'111',x2-u,b'00010',0.0,3
457,0.0,0.0,0.0,b'111',x2-u,b'00001',0.0,3
458,0.0,0.0,0.0,b'111',x2-u,b'00002',0.0,3
459,0.0,0.0,0.0,b'111',x2-u,b'00004',0.07213211059570312,3
460,0.0,0.0,0.0,b'111',x2-u,b'00006',0.07213211059570312,3
461,0.0,0.0,0.0,b'111',x2-u,b'00007',0.07213211059570312,3
462,0.0,0.0,0.0,b'111',x2-u,b'00011',0.07213211059570312,3
463,0.0,0.0,0.0,b'111',x2-u,b'00009',0.07213211059570312,3
464,0.0,0.0,0.0,b'111',x2-u,b'00005',0.14659881591796875,3
465,0.0,0.0,0.0,b'111',x2-u,b'00003',0.14659881591796875,3
466,0.0,0.0,0.0,b'111',x2-u,b'00012',24.29234266281128,3
467,0.0,0.0,0.0,b'111',x2-u,b'00003',24.29234266281128,3
468,0.0,0.0,0.0,b'111',x2-u,b'00001',24.29234266281128,3
469,0.0,0.0,0.0,b'111',x2-u,b'00002',24.29234266281128,3
470,0.0,0.0,0.0,b'111',x2-u,b'00010',24.29234266281128,3
471,0.0,0.0,0.0,b'111',x2-u,b'00006',24.303180932998657,3
472,0.0,0.0,0.0,b'111',x2-u,b'00009',24.303180932998657,3
473,0.0,0.0,0.0,b'111',x2-u,b'00011',24.303180932998657,3
474,0.0,0.0,0.0,b'111',x2-u,b'00005',24.303180932998657,3
475,0.0,0.0,0.0,b'111',x2-u,b'00004',24.303180932998657,3
476,0.0,0.0,0.0,b'111',x2-u,b'00007',24.303180932998657,3
